primaryKey,sector,ward,structureName,deity,areaSqFt,footfall,dateOfEstablishment,obstructingTrafficOrViolating,registration,relevance,remarks,latitude,longitude,status
134,S1,189,"Sai Baba Mandir,shree sai sharadha saburi mithra mandal",Sai Baba,125.07,12,1997-04-03,Yes,-,Moderate,"The temple, said to be over 60 years old, is solely maintained by the Valmiki community and holds significant importance for them. It has a large premises used for various community programmes and is registered under a mandal. Though not marked under DRP, it was rebuilt with the support of former MP Mumbai South Central, Shri Rahul Shewale.",19.0426861,72.8472318,Consolidate
119,S5,183,Irukkan Kudu Muthumari Mandir,Muthumariyamman,152.55,40,1996-12-31,Yes,Charity Commission,Moderate,"Irukkan Kudu Muthumari Mandir is a small open-air shrine near Ajit Pan Shop, Rajiv Gandhi Nagar, dedicated to Goddess Muthumariyamman and mainly visited by the local South Indian community.",19.0486156,72.855425,Consolidate
122,S4,186,Ardhangeshwer shiv Mandir,Shiva,150.91,50,1965-01-01,Yes,-,Moderate,Devotees visit mostly on Monday and in the month of Shravan.,19.0477783,72.8561197,Consolidate
123,S2,185,Shri Mutthu Mariyamman Uthsav,Muthumariyamman,150.44,30,2004-12-31,Yes,-,Moderate,"Irukkan Kudu Muthumari Mandir, also called Muthu Mariamman Mandir, is a small open-air temple primarily visited by the local South Indian Nadar community. A small clay idol of Goddess Muthumariyamman is worshipped here with deep faith.",0,0,Consolidate
137,S1,189,"sai baba,sai sanskrutik mandal",Sai Baba,120.39,5,2001-07-16,Yes,Charity Commission,Low,"The temple is primarily worshipped and maintained by the Valmiki community, with North Indian and South Indian residents also offering prayers.",19.0426808,72.8472518,Consolidate
128,S1,189,Shree Mariamman mandir,Mariyamman,134.42,NA,2006-05-09,Yes,-,NA,Not found,0,0,Consolidate
195,S5,183,Shree Dattaguru Seva Mandal Dharavi,Dattatreya,35.62,30,2017-11-17,No,Charity Commission,Low,This temple was built in 1985 and is visited by people from the Marathi and North Indian communities. This temple is also known as Tri Murti Mandir.,19.04953,72.861465,Consolidate
131,S1,189,Karumari Amman Temple,Karumariyamman,130.94,NA,1985-01-01,Yes,-,NA,Not found,0,0,Consolidate
132,S3,188,shree santoshi mata Mandir,Santoshi,126.63,3,1975-07-17,Yes,-,Low,The temple is located in a densely packed area and is maintained by a nearby family. The temple structure was recently built.,19.0412,72.85477167,Consolidate
133,S4,186,Shree shiv mandir,Shiva,126.46,20,1950-01-01,Yes,Charity Commission,Low,This temple is located deep inside the slum thereby limiting accessibility.,19.04337,72.85679,Consolidate
141,S5,183,Shree Sai Mandir,Sai Baba,115.7,25,1995-06-01,Yes,-,Moderate,"At the entrance of Parsi Chawl, there is a small mandir placed under a banyan tree. It has no proper structure and is worshipped by locals with simple offerings.",19.04899333,72.85888333,Consolidate
135,S2,183,Jai Durga Mata Mandir,Durga,122.49,45,1998-12-11,Yes,-,Moderate,,19.04154333,72.85774333,Consolidate
136,S3,188,Jay Durga Mata Mandir,Durga,120.45,10,1999-05-09,Yes,Charity Commission,Moderate,The temple is situated on the main road in a Muslim-dominant area. It is well-maintained and in good condition.,19.040205,72.851405,Consolidate
150,S6,189,Sai Baba Mandir,Sai Baba,98.34,15,2000-09-30,Yes,Charity Commission,Moderate,"The well-maintained temple is located inside a gali and is mainly visited by local residents. The surrounding community is primarily Gujarati and Marathi. The adjacent vacant area is used by children to sit and play video games, while bhajans play continuously in the background.",19.0428633,72.8470991,Consolidate
138,S2,183,Shree Yallamma Renuka Deul,Renuka,120.17,35,1990-05-17,Yes,-,Moderate,"Shree Yallamma Renuka Deul is a small temple in Dharavi, mainly visited by South Indian and Marathi devotees, with a small structure and regular local worship.",19.04159833,72.85719667,Consolidate
139,S3,188,shree Shitalama Devi Mandir,Laxmi,119.36,5,2007-10-30,Yes,Charity Commission,Low,The temple is small in structure and poorly maintained.,19.040944,72.8556235,Consolidate
140,S1,189,ganesh galli nad comette,Ganesh,116.32,5,1975-01-01,Yes,-,Low,"The temple is located on the ground floor of a house, with residences above it. Maintained by a committee and the local Marathi and South Indian communities, it also has an associated mandal. The temple is set in a very densely packed area.",0,0,Consolidate
151,S4,186,nav yuvak kurli mochi samaj,Sai Baba,96.88,30,1984-12-31,No,Charity Commission,Moderate,"This is a small mandir, located under a tree, in an area with multiple shops.",19.04769,72.85994,Consolidate
142,S2,183,Narsoba Ramdas Mandir,NA,115.3,NA,1977-01-01,Yes,-,NA,Not found,19.04123,72.85783167,Consolidate
143,S1,189,Shree Vaishnavi Devi Mandir,Durga,110.5,10,1990-10-19,Yes,-,Moderate,The temple is located in a market area and maintained by the local community,19.03779333,72.85252,Consolidate
144,S6,189,devi shree santhana mariamman kovil,Mariyamman,108.49,15,1987-04-19,Yes,Charity Commission,Moderate,"The well-maintained temple is located deep inside a narrow gali and is primarily visited by South Indians, especially Tamils, residing nearby.",19.0427004,72.8471844,Consolidate
145,S2,184,Shiv Parvati Mandir,Shiva,107.55,12,1984-12-31,Yes,-,Moderate,"Situated beneath a Peepal tree in a narrow lane near Crown Cake and Bakers, the temple is located in an area predominantly inhabited by the South Indian community.",19.0471711,72.861347,Consolidate
196,S2,184,Santoshi Mata Devi Mandir,Santoshi,35.01,15,2018-06-28,Yes,Charity Commission,Moderate,"Near the 30-year-old small temple with a large open space, the Bal Gopal Mitra Mandal actively organizes regular events. The area is home to both Marathi and North Indian communities.",19.04662667,72.86145333,Consolidate
149,S5,183,Shri Shiv Mandir,Shiva,100.06,50,1996-12-31,Yes,-,Moderate,"This temple was built in 1995 and is mainly visited by the North Indian community living in the area. The temple remains active throughout the year, especially during major Hindu festivals like Ram Navami, Hanuman Jayanti, and Navratri.",19.0488732,72.8638055,Consolidate
152,S2,184,Sai Baba Mandir,Sai Baba,96.75,20,2005-07-10,Yes,Charity Commission,Low,"There is a large hall, and inside it, there is a small temple-like structure with a Sai Baba idol.",19.04572333,72.86139333,Consolidate
153,S5,183,Shree Sai Mandir,Sai Baba,94.15,20,2008-04-22,No,Charity Commission,Low,Small mandir without proper structure.,19.04700667,72.86236667,Consolidate
158,S3,188,shree saibaba Mandir,Sai Baba,89.05,10,2023-11-06,No,Charity Commission,Moderate,The temple is located in an open space within the Gul Mohammed Chawl area. It is well-maintained and has an associated mandal.,19.044005,72.854335,Consolidate
167,S4,186,shree sai mandir,Sai Baba,67.05,30,1993-07-10,Yes,-,Low,Dinesh Balchand has given donations to this temple.,19.04579,72.854615,Consolidate
71,S2,183,Shree Ram Mandir,Ram,337.96,10,2014-02-20,Yes,-,Low,,19.0420735,72.8589836,Consolidate
199,S4,186,Mahabali Charitable Trust,Hanuman,33.85,40,2023-05-03,No,Charity Commission,Moderate,"This temple is maintained by the Mahabali Charitable Trust, which is involved in donations, tree plantation drives, and other social activities.",19.04767167,72.85871833,Consolidate
159,S4,186,Hanuman mandir,Hanuman,88.58,20,2001-01-31,No,Charity Commission,Moderate,,19.04284667,72.85612667,Consolidate
160,S2,185,shree shiv mandir,Shiva,86.67,20,1990-06-01,Yes,-,Low,"The temple is an open-air shrine located under a banyan tree (physical structure is missing), surrounded by both South Indian and North Indian communities.",19.0399325,72.8579781,Consolidate
161,S1,189,kuldevi Mata Mandir,Kuldevi,84.56,10,1944-12-30,Yes,-,Moderate,"The temple, over 60 years old, belongs to the Valmiki community and is used for rituals involving sacrificial offerings. Though it lacks a central deity, it has mini structures that are considered sacred for rituals. The area is predominantly Valmiki, with Buddhist and North Indian communities also present.",19.03775,72.85228333,Consolidate
163,S1,189,Muthu Mariamman Temple,Muthumariyamman,76.37,15,1985-01-01,Yes,-,Moderate,"The temple, said to be over 70 years old, is surrounded by Marathi and South Indian communities. The structure is well-maintained and recently renovated.",0,0,Consolidate
164,S4,186,Mata Renuka Yellaamma mandir,Mata Renuka,73.58,50,1975-01-01,Yes,-,Moderate,"This temple is active during Shravan month, devotees engage in sacrifices.",19.0442009,72.8555608,Consolidate
165,S4,186,shree Gada Durga Devi Mandir,Durga,73.12,10,1975-12-31,Yes,-,Moderate,"People visit mostly in Navratri; otherwise, it is found to be closed.",19.04402167,72.855555,Consolidate
166,S3,188,"durgaiamman devi, durgavinayagar mitra mandal",Durga,68.54,12,1955-07-02,Yes,-,Moderate,"The South Indian community maintains the temple. However, there is also a mandal through which the community performs all festivals.",19.04178333,72.85434833,Consolidate
